Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,4.610000,4.650000,4.510000,4.510000,4.393803,24640100
2019-06-17,4.530000,4.610000,4.530000,4.550000,4.432772,25615200
2019-06-18,4.600000,4.700000,4.600000,4.690000,4.569165,16551600
2019-06-19,4.670000,4.760000,4.650000,4.750000,4.627619,29055700
2019-06-20,4.790000,4.870000,4.780000,4.820000,4.695816,13904900
2019-06-21,4.810000,4.860000,4.800000,4.810000,4.686073,31790500
2019-06-24,4.800000,4.840000,4.780000,4.820000,4.695816,15969100
2019-06-25,4.770000,4.820000,4.700000,4.750000,4.627619,23980100
2019-06-26,4.740000,4.770000,4.660000,4.700000,4.578907,27089100
2019-06-27,4.660000,4.710000,4.600000,4.710000,4.588650,26697900
2019-06-28,4.730000,4.750000,4.650000,4.670000,4.549680,20768600
2019-07-01,4.740000,4.740000,4.600000,4.630000,4.510711,28598900
2019-07-02,4.650000,4.760000,4.590000,4.700000,4.578907,29151600
2019-07-03,4.740000,4.870000,4.740000,4.820000,4.695816,25311200
2019-07-05,4.910000,4.980000,4.860000,4.970000,4.841951,32598500
2019-07-08,5.000000,5.010000,4.890000,4.940000,4.812724,30062200
2019-07-09,4.910000,4.990000,4.900000,4.960000,4.832209,14064600
2019-07-10,5.070000,5.070000,4.980000,5.050000,4.919890,36500500
2019-07-11,5.080000,5.090000,4.920000,4.950000,4.822466,27402100
2019-07-12,4.900000,4.930000,4.830000,4.840000,4.715301,50633800
2019-07-15,4.860000,4.900000,4.800000,4.830000,4.705558,29021400
2019-07-16,4.850000,4.860000,4.760000,4.780000,4.656847,18581100
2019-07-17,4.770000,4.830000,4.740000,4.740000,4.617877,14710700
2019-07-18,4.760000,4.890000,4.750000,4.850000,4.725042,16323800
2019-07-19,4.920000,4.930000,4.800000,4.800000,4.676331,22680600
2019-07-22,4.850000,4.860000,4.760000,4.770000,4.647104,20402300
2019-07-23,4.810000,4.840000,4.770000,4.790000,4.666588,16716400
2019-07-24,4.790000,4.820000,4.720000,4.730000,4.608134,18433100
2019-07-25,5.090000,5.200000,5.040000,5.160000,5.027056,53426200
2019-07-26,5.200000,5.270000,5.140000,5.240000,5.104994,21620700
2019-07-29,5.230000,5.430000,5.200000,5.400000,5.260872,35419600
2019-07-30,5.420000,5.450000,5.310000,5.320000,5.182933,28687700
2019-07-31,5.320000,5.360000,5.170000,5.270000,5.134222,32962700
2019-08-01,5.280000,5.400000,5.250000,5.290000,5.153706,34618000
2019-08-02,5.280000,5.310000,5.210000,5.240000,5.104994,19844600
2019-08-05,5.150000,5.170000,5.050000,5.090000,4.958859,23862800
2019-08-06,5.120000,5.170000,5.030000,5.150000,5.017313,24527800
2019-08-07,5.050000,5.220000,5.030000,5.210000,5.075768,27392500
2019-08-08,5.120000,5.170000,5.080000,5.100000,4.968601,48231600
2019-08-09,5.110000,5.120000,5.050000,5.050000,4.919890,27518200
2019-08-12,4.870000,4.900000,4.820000,4.880000,4.754270,25714700
2019-08-13,4.830000,4.940000,4.810000,4.870000,4.744527,25557000
2019-08-14,4.770000,4.800000,4.660000,4.680000,4.559422,25831300
2019-08-15,4.730000,4.740000,4.590000,4.640000,4.520453,34098200
2019-08-16,4.680000,4.740000,4.660000,4.700000,4.578907,21250600
2019-08-19,4.750000,4.760000,4.590000,4.670000,4.549680,20560800
2019-08-20,4.650000,4.730000,4.640000,4.660000,4.539937,17027500
